##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:34 2016, Spec, 0, 200
Sat Jan  9 16:25:34 2016, Spec, 0, 200
Sat Jan  9 16:25:34 2016, Spec, 0, 200
Sat Jan  9 16:25:34 2016, Spec, 0, 200
Sat Jan  9 16:25:34 2016, Spec, 0, 200
Sat Jan  9 16:25:34 2016, Spec, 0, 200
Sat Jan  9 16:25:34 2016, Spec, 0, 200
Sat Jan  9 16:25:34 2016, Spec, 1, 200
Sat Jan  9 16:25:34 2016, Spec, 1, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:36 2016, Spec, 0, 200
Sat Jan  9 16:25:36 2016, Spec, 0, 200
Sat Jan  9 16:25:36 2016, Spec, 0, 200
Sat Jan  9 16:25:36 2016, Spec, 0, 200
Sat Jan  9 16:25:36 2016, Spec, 0, 200
Sat Jan  9 16:25:36 2016, Spec, 1, 200
Sat Jan  9 16:25:36 2016, Spec, 0, 200
Sat Jan  9 16:25:36 2016, Spec, 1, 200
Sat Jan  9 16:25:36 2016, Spec, 1, 200
Sat Jan  9 16:25:36 2016, Spec, 1, 200
Sat Jan  9 16:25:36 2016, Spec, 1, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:38 2016, Spec, 0, 200
Sat Jan  9 16:25:38 2016, Spec, 1, 200
Sat Jan  9 16:25:38 2016, Spec, 0, 200
Sat Jan  9 16:25:38 2016, Spec, 0, 200
Sat Jan  9 16:25:38 2016, Spec, 2, 200
Sat Jan  9 16:25:38 2016, Spec, 0, 200
Sat Jan  9 16:25:38 2016, Spec, 1, 200
Sat Jan  9 16:25:38 2016, Spec, 0, 200
Sat Jan  9 16:25:38 2016, Spec, 1, 200
Sat Jan  9 16:25:38 2016, Spec, 1, 200
Sat Jan  9 16:25:38 2016, Spec, 0, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:40 2016, Spec, 0, 200
Sat Jan  9 16:25:40 2016, Spec, 0, 200
Sat Jan  9 16:25:40 2016, Spec, 0, 200
Sat Jan  9 16:25:40 2016, Spec, 0, 200
Sat Jan  9 16:25:40 2016, Spec, 0, 200
Sat Jan  9 16:25:41 2016, Spec, 0, 200
Sat Jan  9 16:25:41 2016, Spec, 0, 200
Sat Jan  9 16:25:41 2016, Spec, 0, 200
Sat Jan  9 16:25:41 2016, Spec, 0, 200
Sat Jan  9 16:25:41 2016, Spec, 1, 200
Sat Jan  9 16:25:41 2016, Spec, 1, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:43 2016, Fast, 35, 200
Sat Jan  9 16:25:43 2016, Fast, 26, 200
Sat Jan  9 16:25:43 2016, Fast, 27, 200
Sat Jan  9 16:25:43 2016, Fast, 26, 200
Sat Jan  9 16:25:43 2016, Fast, 27, 200
Sat Jan  9 16:25:43 2016, Fast, 28, 200
Sat Jan  9 16:25:43 2016, Fast, 26, 200
Sat Jan  9 16:25:43 2016, Fast, 27, 200
Sat Jan  9 16:25:43 2016, Fast, 27, 200
Sat Jan  9 16:25:43 2016, Fast, 28, 200
Sat Jan  9 16:25:43 2016, Fast, 27, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:44 2016, Fast, 28, 200
Sat Jan  9 16:25:44 2016, Fast, 26, 200
Sat Jan  9 16:25:44 2016, Fast, 28, 200
Sat Jan  9 16:25:44 2016, Fast, 29, 200
Sat Jan  9 16:25:44 2016, Fast, 29, 200
Sat Jan  9 16:25:44 2016, Fast, 27, 200
Sat Jan  9 16:25:44 2016, Fast, 28, 200
Sat Jan  9 16:25:45 2016, Fast, 30, 200
Sat Jan  9 16:25:45 2016, Fast, 28, 200
Sat Jan  9 16:25:45 2016, Fast, 28, 200
Sat Jan  9 16:25:45 2016, Fast, 32, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:46 2016, Fast, 31, 200
Sat Jan  9 16:25:46 2016, Fast, 29, 200
Sat Jan  9 16:25:46 2016, Fast, 30, 200
Sat Jan  9 16:25:46 2016, Fast, 29, 200
Sat Jan  9 16:25:46 2016, Fast, 29, 200
Sat Jan  9 16:25:46 2016, Fast, 29, 200
Sat Jan  9 16:25:46 2016, Fast, 29, 200
Sat Jan  9 16:25:46 2016, Fast, 30, 200
Sat Jan  9 16:25:46 2016, Fast, 30, 200
Sat Jan  9 16:25:46 2016, Fast, 29, 200
Sat Jan  9 16:25:46 2016, Fast, 30, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:48 2016, Fast, 23, 200
Sat Jan  9 16:25:48 2016, Fast, 22, 200
Sat Jan  9 16:25:48 2016, Fast, 23, 200
Sat Jan  9 16:25:48 2016, Fast, 25, 200
Sat Jan  9 16:25:48 2016, Fast, 25, 200
Sat Jan  9 16:25:48 2016, Fast, 24, 200
Sat Jan  9 16:25:48 2016, Fast, 25, 200
Sat Jan  9 16:25:48 2016, Fast, 24, 200
Sat Jan  9 16:25:48 2016, Fast, 25, 200
Sat Jan  9 16:25:48 2016, Fast, 24, 200
Sat Jan  9 16:25:48 2016, Fast, 27, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:49 2016, Fast, 31, 200
Sat Jan  9 16:25:49 2016, Fast, 29, 200
Sat Jan  9 16:25:49 2016, Fast, 32, 200
Sat Jan  9 16:25:49 2016, Fast, 32, 200
Sat Jan  9 16:25:49 2016, Fast, 31, 200
Sat Jan  9 16:25:49 2016, Fast, 31, 200
Sat Jan  9 16:25:49 2016, Fast, 31, 200
Sat Jan  9 16:25:50 2016, Fast, 30, 200
Sat Jan  9 16:25:50 2016, Fast, 30, 200
Sat Jan  9 16:25:50 2016, Fast, 31, 200
Sat Jan  9 16:25:50 2016, Fast, 32, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:51 2016, Fast, 39, 200
Sat Jan  9 16:25:51 2016, Fast, 29, 200
Sat Jan  9 16:25:51 2016, Fast, 30, 200
Sat Jan  9 16:25:51 2016, Fast, 33, 200
Sat Jan  9 16:25:51 2016, Fast, 31, 200
Sat Jan  9 16:25:51 2016, Fast, 29, 200
Sat Jan  9 16:25:51 2016, Fast, 29, 200
Sat Jan  9 16:25:51 2016, Fast, 28, 200
Sat Jan  9 16:25:51 2016, Fast, 28, 200
Sat Jan  9 16:25:51 2016, Fast, 30, 200
Sat Jan  9 16:25:51 2016, Fast, 30, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:52 2016, Fast, 34, 200
Sat Jan  9 16:25:53 2016, Fast, 33, 200
Sat Jan  9 16:25:53 2016, Fast, 32, 200
Sat Jan  9 16:25:53 2016, Fast, 34, 200
Sat Jan  9 16:25:53 2016, Fast, 35, 200
Sat Jan  9 16:25:53 2016, Fast, 35, 200
Sat Jan  9 16:25:53 2016, Fast, 35, 200
Sat Jan  9 16:25:53 2016, Fast, 33, 200
Sat Jan  9 16:25:53 2016, Fast, 33, 200
Sat Jan  9 16:25:53 2016, Fast, 34, 200
Sat Jan  9 16:25:53 2016, Fast, 34, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:54 2016, Spec, 1, 300
Sat Jan  9 16:25:54 2016, Spec, 1, 300
Sat Jan  9 16:25:54 2016, Spec, 1, 300
Sat Jan  9 16:25:54 2016, Spec, 2, 300
